Muestra,M1,M2,M3,M4,M5
1,556,552,552,551,552
2,556,555,553,552,554
3,556,554,552,553,552
4,552,554,554,554,549
5,551,556,551,551,552
6,552,553,554,550,549
7,551,550,551,552,551
8,550,550,553,555,552
9,556,553,555,552,550
10,554,552,553,552,555
11,551,553,554,549,553
12,556,551,553,551,554
13,553,553,554,548,551
14,550,553,548,556,553
15,554,552,553,555,549
16,556,552,554,553,553
17,553,552,555,555,552
18,550,550,553,550,549
19,556,557,551,550,551
20,552,554,552,550,553
21,550,553,552,555,553
22,554,554,553,552,552
23,549,551,558,551,555
24,551,551,552,551,554
25,552,548,551,552,553
26,551,553,551,554,548
27,551,550,555,552,554
28,551,556,553,552,555
29,552,554,557,553,553
30,551,552,554,553,550
31,557,551,552,554,555
32,550,554,554,554,556
33,552,552,553,552,553
34,552,556,554,552,554
35,552,550,553,552,553
36,553,553,549,551,552
