Muestra,M1,M2,M3,M4,M5,M6
1,-21,1,15,4,7,21
2,-5,4,-5,2,5,-16
3,21,3,2,19,-1,-20
4,3,9,12,-1,-1,-3
5,-12,-10,5,6,1,10
6,4,-4,5,6,10,22
7,3,0,-1,8,7,-14
8,7,-5,2,2,-8,-5
9,22,11,-16,9,-14,-7
10,-18,2,10,-4,-33,5
11,-13,3,1,-22,-14,-1
12,7,-13,-2,1,28,1
13,-11,3,-4,-2,10,4
14,-7,-13,-16,2,0,-4
15,7,9,10,-7,-2,17
16,15,7,-13,-9,-19,0
17,7,0,1,10,2,5
18,26,5,-6,-8,7,6
19,7,11,11,-10,12,-19
20,-4,4,4,-2,-9,-7
21,0,17,2,0,10,2
22,13,3,-4,-3,5,-19
23,6,2,14,-13,14,12
24,-20,-23,-6,14,-4,-1
25,6,-4,-2,-3,4,0
